compound,c_destructive_verbal,i_destructive_verbal,destructive_img,c_non_destructive_verbal,i_non_destructive_verbal,non_destructive_img,c_control_verbal,i_control_verbal,control_img,flagging
Balloon Seal,An inflatable shaped like a marine animal,An inflatable shaped like a dog,cogs_visual_materials/balloon_seal/balloon_seal_D.png,An inflatable played with by a marine animal,An inflatable held by a child,cogs_visual_materials/balloon_seal/balloon_seal_N.png,An inflatable beside a marine animal,An inflatable beside a child,cogs_visual_materials/balloon_seal/balloon_seal_C.png,0
Bamboo Bug,An insect with a segmented plant-like body,An insect with a  white body,cogs_visual_materials/bamboo_bug/bamboo_bug_D.png,An insect eating a rigid plant,An insect eating rice,cogs_visual_materials/bamboo_bug/bamboo_bug_N.png,An insect beside a rigid plant,An insect beside rice,cogs_visual_materials/bamboo_bug/bamboo_bug_C.png,0
Banana Truck,A vehicle colored yellow,A vehicle colored blue,cogs_visual_materials/banana_truck/banana_truck_D.png,A vehicle carrying yellow fruit,A vehicle carrying vegetables,cogs_visual_materials/banana_truck/banana_truck_N.png,A vehicle beside yellow fruit,A vehicle beside vegetables,cogs_visual_materials/banana_truck/banana_truck_C.png,0
Bee Squirrel,A yellow-and-black striped rodent,A green rodent ,cogs_visual_materials/bee_squirrel/bee_squirrel_D.png,A rodent eating honey,A rodent eating fruit,cogs_visual_materials/bee_squirrel/bee_squirrel_N.png,A rodent beside an insect,A rodent beside fruit,cogs_visual_materials/bee_squirrel/bee_squirrel_C.png,0
Bird Candy,A sweet treat shaped like a flying animal,A sweet treat shaped like a snake,cogs_visual_materials/bird_candy/bird_candy_D.png,A sweet treat eaten by a flying animal,A sweet treat eaten by a dog,cogs_visual_materials/bird_candy/bird_candy_N.png,A sweet treat beside a flying animal,A sweet treat beside a dog,cogs_visual_materials/bird_candy/bird_candy_C.png,0
Cactus Fish,A fish with spiky texture,A fish with smooth texture,cogs_visual_materials/cactus_fish/cactus_fish_D.png,A fish eating a spiky plant,A fish eating algae,cogs_visual_materials/cactus_fish/cactus_fish_N.png,A fish beside a spiky plant,A fish beside algae,cogs_visual_materials/cactus_fish/cactus_fish_C.png,0
Camel Hut,A shelter with multiple humps,A shelter with a flat top,cogs_visual_materials/camel_hut/camel_hut_D.png,A shelter used by a desert animal,A shelter used by a bird,cogs_visual_materials/camel_hut/camel_hut_N.png,A shelter beside a desert animal,A shelter beside a bird,cogs_visual_materials/camel_hut/camel_hut_C.png,0
Candle Mug,A wax light shaped like a drinking cup,A spherical wax light ,cogs_visual_materials/candle_mug/candle_mug_D.png,A drinking cup holding a wax light,A drinking cup holding water,cogs_visual_materials/candle_mug/candle_mug_N.png,A drinking cup beside a wax light,A drinking cup beside water,cogs_visual_materials/candle_mug/candle_mug_C.png,0
Candyfloss Sheep,An animal with colorful wool,A shaved animal ,cogs_visual_materials/candyfloss_sheep/candyfloss_sheep_D.png,An animal eating cotton candy,An animal eating grass,cogs_visual_materials/candyfloss_sheep/candyfloss_sheep_N.png,An animal beside cotton candy,An animal beside grass,cogs_visual_materials/candyfloss_sheep/candyfloss_sheep_C.png,0
Canoe Bed,A sleeping surface shaped like a narrow boat,A sleeping surface shaped like circle,cogs_visual_materials/canoe_bed/canoe_bed_D.png,A sleeping surface in a narrow boat,A sleeping surface in a car,cogs_visual_materials/canoe_bed/canoe_bed_N.png,A sleeping surface beside a narrow boat,A sleeping surface beside a car,cogs_visual_materials/canoe_bed/canoe_bed_C.png,0
